271 	 528 	 63.6007 	 -111.34 	 779.277 	 104 	 108 	 139 	 0
273 	 547 	 91.6916 	 -107.94 	 776.356 	 2 	 67 	 182 	 0
274 	 526 	 60.8939 	 -107.355 	 782.96 	 64 	 79 	 161 	 0
275 	 542 	 84.3155 	 -105.057 	 777.084 	 27 	 67 	 174 	 0
276 	 552 	 99.4262 	 -103.759 	 778.545 	 27 	 68 	 170 	 0
276 	 638 	 227.801 	 -103.661 	 777.814 	 7 	 70 	 194 	 0
277 	 555 	 104.01 	 -102.36 	 779.277 	 16 	 66 	 177 	 0
277 	 635 	 223.739 	 -102.36 	 779.277 	 7 	 72 	 189 	 0
278 	 551 	 97.7472 	 -100.579 	 777.084 	 0 	 67 	 176 	 0
278 	 618 	 196.632 	 -100.016 	 772.735 	 2 	 65 	 181 	 0
279 	 541 	 82.668 	 -98.9014 	 775.629 	 20 	 69 	 173 	 0
279 	 607 	 180.476 	 -98.6244 	 773.456 	 11 	 75 	 175 	 0
280 	 525 	 59.1109 	 -97.87 	 779.277 	 15 	 55 	 148 	 0
280 	 591 	 156.855 	 -97.2297 	 774.179 	 9 	 70 	 164 	 0
281 	 574 	 131.211 	 -95.4752 	 772.015 	 0 	 60 	 154 	 0
281 	 647 	 241.019 	 -96.1022 	 777.084 	 30 	 73 	 184 	 0
282 	 557 	 106.303 	 -94.2561 	 774.179 	 0 	 61 	 150 	 0
282 	 626 	 210.666 	 -95.0556 	 780.746 	 0 	 49 	 132 	 0
283 	 536 	 75.3611 	 -93.1173 	 777.084 	 21 	 70 	 157 	 0
283 	 602 	 173.372 	 -92.856 	 774.903 	 16 	 49 	 121 	 0
284 	 583 	 145.504 	 -91.6249 	 777.084 	 21 	 52 	 126 	 0
284 	 653 	 251.863 	 -92.3177 	 782.96 	 47 	 60 	 149 	 0
285 	 565 	 119.764 	 -90.986 	 784.443 	 11 	 43 	 118 	 0
285 	 633 	 221.999 	 -90.9 	 783.701 	 21 	 44 	 129 	 0
286 	 537 	 77.8762 	 -89.8197 	 787.426 	 26 	 51 	 123 	 0
286 	 608 	 183.676 	 -89.0578 	 780.746 	 1 	 43 	 122 	 0
287 	 582 	 144.827 	 -87.641 	 781.483 	 27 	 54 	 128 	 0
287 	 648 	 244.808 	 -87.973 	 784.443 	 179 	 128 	 207 	 0
288 	 546 	 91.4867 	 -86.7952 	 787.426 	 24 	 48 	 121 	 0
288 	 614 	 191.769 	 -85.6553 	 777.084 	 7 	 43 	 131 	 0
289 	 577 	 137.713 	 -84.8795 	 783.701 	 1 	 46 	 129 	 0
289 	 643 	 236.826 	 -84.7993 	 782.96 	 45 	 65 	 157 	 0
290 	 539 	 80.8239 	 -83.6911 	 786.678 	 12 	 43 	 119 	 0
290 	 605 	 179.178 	 -83.0601 	 780.746 	 11 	 51 	 144 	 0
291 	 567 	 123.362 	 -82.3366 	 788.175 	 0 	 42 	 136 	 0
291 	 633 	 221.999 	 -81.8693 	 783.701 	 27 	 56 	 158 	 0
292 	 529 	 66.3456 	 -81.4428 	 794.22 	 32 	 43 	 112 	 0
